"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Autauga County, AL"	"01001"	Suppressed	55395	Suppressed	Suppressed
	"Baldwin County, AL"	"01003"	68	200111	33.98	31.98
	"Barbour County, AL"	"01005"	Suppressed	26887	Suppressed	Suppressed
	"Bibb County, AL"	"01007"	Suppressed	22506	Suppressed	Suppressed
	"Blount County, AL"	"01009"	15	57719	Unreliable	Unreliable
	"Bullock County, AL"	"01011"	Suppressed	10764	Suppressed	Suppressed
	"Butler County, AL"	"01013"	Suppressed	20296	Suppressed	Suppressed
	"Calhoun County, AL"	"01015"	25	115916	21.57	20.93
	"Chambers County, AL"	"01017"	16	34076	Unreliable	Unreliable
	"Cherokee County, AL"	"01019"	17	26037	Unreliable	Unreliable
	"Chilton County, AL"	"01021"	Suppressed	43931	Suppressed	Suppressed
	"Choctaw County, AL"	"01023"	Suppressed	13323	Suppressed	Suppressed
	"Clarke County, AL"	"01025"	Suppressed	24945	Suppressed	Suppressed
	"Clay County, AL"	"01027"	Suppressed	13552	Suppressed	Suppressed
	"Cleburne County, AL"	"01029"	Suppressed	15080	Suppressed	Suppressed
	"Coffee County, AL"	"01031"	Suppressed	50909	Suppressed	Suppressed
	"Colbert County, AL"	"01033"	11	54543	Unreliable	Unreliable
	"Conecuh County, AL"	"01035"	Suppressed	12670	Suppressed	Suppressed
	"Coosa County, AL"	"01037"	Suppressed	10886	Suppressed	Suppressed
	"Covington County, AL"	"01039"	14	37914	Unreliable	Unreliable
	"Crenshaw County, AL"	"01041"	Suppressed	13977	Suppressed	Suppressed
	"Cullman County, AL"	"01043"	37	81289	45.52	43.35
	"Dale County, AL"	"01045"	Suppressed	49484	Suppressed	Suppressed
	"Dallas County, AL"	"01047"	Suppressed	41711	Suppressed	Suppressed
	"DeKalb County, AL"	"01049"	14	71065	Unreliable	Unreliable
	"Elmore County, AL"	"01051"	15	80977	Unreliable	Unreliable
	"Escambia County, AL"	"01053"	72	37733	190.81	162.13
	"Etowah County, AL"	"01055"	31	103531	29.94	28.91
	"Fayette County, AL"	"01057"	Suppressed	16874	Suppressed	Suppressed
	"Franklin County, AL"	"01059"	10	31601	Unreliable	Unreliable
	"Geneva County, AL"	"01061"	17	26712	Unreliable	Unreliable
	"Greene County, AL"	"01063"	Suppressed	8553	Suppressed	Suppressed
	"Hale County, AL"	"01065"	Suppressed	15184	Suppressed	Suppressed
	"Henry County, AL"	"01067"	Suppressed	17190	Suppressed	Suppressed
	"Houston County, AL"	"01069"	26	104193	24.95	23.54
	"Jackson County, AL"	"01071"	11	52665	Unreliable	Unreliable
	"Jefferson County, AL"	"01073"	271	660793	41.01	39.94
	"Lamar County, AL"	"01075"	Suppressed	14086	Suppressed	Suppressed
	"Lauderdale County, AL"	"01077"	13	93096	Unreliable	Unreliable
	"Lawrence County, AL"	"01079"	Suppressed	33477	Suppressed	Suppressed
	"Lee County, AL"	"01081"	59	154255	38.25	43.73
	"Limestone County, AL"	"01083"	11	90787	Unreliable	Unreliable
	"Lowndes County, AL"	"01085"	Suppressed	10580	Suppressed	Suppressed
	"Macon County, AL"	"01087"	Suppressed	19425	Suppressed	Suppressed
	"Madison County, AL"	"01089"	41	350299	11.70	11.93
